#decay	# windows in store	# elements in stream	query	age class	length class	error:p99	latency:p99	ci-width:p99	ci-miss-rate
exponential2	43	313814094	COUNT	subsecond	seconds	0.051863	0.134993	0.248490	0.000000
exponential2	43	313814094	COUNT	subsecond	minutes	0.023814	0.137993	0.042205	0.000000
exponential2	43	313814094	COUNT	subsecond	hours	0.002333	0.140993	0.006959	0.000000
exponential2	43	313814094	COUNT	subsecond	days	0.000431	0.139993	0.001117	0.000000
exponential2	43	313814094	COUNT	subsecond	months	0.000025	0.013999	0.000207	0.000000
exponential2	43	313814094	COUNT	subsecond	years	0.000000	0.077000	0.000000	0.000000
exponential2	43	313814094	COUNT	seconds	seconds	0.359291	0.005487	1.999900	0.000000
exponential2	43	313814094	COUNT	seconds	minutes	0.019488	0.007492	0.054435	0.000000
exponential2	43	313814094	COUNT	seconds	hours	0.002238	0.009997	0.007005	0.000000
exponential2	43	313814094	COUNT	seconds	days	0.000450	0.009491	0.001117	0.000000
exponential2	43	313814094	COUNT	seconds	months	0.000026	0.009995	0.000207	0.000000
exponential2	43	313814094	COUNT	seconds	years	0.000000	0.001000	0.000000	0.000000
exponential2	43	313814094	COUNT	minutes	seconds	0.363443	0.006496	1.999904	0.000000
exponential2	43	313814094	COUNT	minutes	minutes	0.035241	0.005492	0.155564	0.000000
exponential2	43	313814094	COUNT	minutes	hours	0.002685	0.007499	0.008317	0.000000
exponential2	43	313814094	COUNT	minutes	days	0.000405	0.005494	0.001142	0.000000
exponential2	43	313814094	COUNT	minutes	months	0.000025	0.006500	0.000207	0.000000
exponential2	43	313814094	COUNT	hours	seconds	0.488422	0.006499	1.999908	0.000000
exponential2	43	313814094	COUNT	hours	minutes	0.047681	0.004500	0.160702	0.000000
exponential2	43	313814094	COUNT	hours	hours	0.007935	0.002500	0.019271	0.000000
exponential2	43	313814094	COUNT	hours	days	0.000499	0.008000	0.001930	0.000000
exponential2	43	313814094	COUNT	hours	months	0.000032	0.035997	0.000206	0.000000
exponential2	43	313814094	COUNT	days	seconds	0.380248	0.006500	1.999908	0.000000
exponential2	43	313814094	COUNT	days	minutes	0.044447	0.005500	0.160971	0.000000
exponential2	43	313814094	COUNT	days	hours	0.007905	0.006000	0.020566	0.000000
exponential2	43	313814094	COUNT	days	days	0.001419	0.004500	0.004041	0.000000
exponential2	43	313814094	COUNT	days	months	0.000123	0.010487	0.000349	0.000000
exponential2	43	313814094	COUNT	months	seconds	0.282865	0.008000	1.999908	0.000000
exponential2	43	313814094	COUNT	months	minutes	0.038133	0.009500	0.160964	0.000000
exponential2	43	313814094	COUNT	months	hours	0.007280	0.014491	0.020606	0.000000
exponential2	43	313814094	COUNT	months	days	0.001570	0.010500	0.004193	0.000000
exponential2	43	313814094	COUNT	months	months	0.000261	0.071996	0.000690	0.000000
exponential2	43	313814094	COUNT	years	seconds	0.495025	0.001000	2.000000	0.000000
exponential2	43	313814094	SUM	subsecond	seconds	0.135965	0.001000	0.066216	0.000000
exponential2	43	313814094	SUM	subsecond	minutes	0.028087	0.002000	0.002698	0.000000
exponential2	43	313814094	SUM	subsecond	hours	0.001998	0.004000	0.000141	0.000000
exponential2	43	313814094	SUM	subsecond	days	0.000475	0.009000	0.000011	0.000000
exponential2	43	313814094	SUM	subsecond	months	0.000031	0.003000	0.000001	0.000000
exponential2	43	313814094	SUM	subsecond	years	0.000000	0.139000	0.000000	0.000000
exponential2	43	313814094	SUM	seconds	seconds	0.496062	0.003500	1.999900	0.000000
exponential2	43	313814094	SUM	seconds	minutes	0.024578	0.003500	0.003054	0.000000
exponential2	43	313814094	SUM	seconds	hours	0.002202	0.005500	0.000142	0.000000
exponential2	43	313814094	SUM	seconds	days	0.000509	0.003499	0.000011	0.000000
exponential2	43	313814094	SUM	seconds	months	0.000031	0.010496	0.000001	0.000000
exponential2	43	313814094	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
exponential2	43	313814094	SUM	minutes	seconds	0.508595	0.003499	1.999900	0.000000
exponential2	43	313814094	SUM	minutes	minutes	0.041212	0.002499	0.005191	0.000000
exponential2	43	313814094	SUM	minutes	hours	0.002503	0.007500	0.000154	0.000000
exponential2	43	313814094	SUM	minutes	days	0.000469	0.007499	0.000012	0.000000
exponential2	43	313814094	SUM	minutes	months	0.000031	0.005499	0.000001	0.000000
exponential2	43	313814094	SUM	hours	seconds	0.615749	0.004500	1.999900	0.000000
exponential2	43	313814094	SUM	hours	minutes	0.057101	0.005495	0.005301	0.000000
exponential2	43	313814094	SUM	hours	hours	0.007769	0.004499	0.000235	0.000000
exponential2	43	313814094	SUM	hours	days	0.000476	0.010499	0.000015	0.000000
exponential2	43	313814094	SUM	hours	months	0.000052	0.074987	0.000001	0.000000
exponential2	43	313814094	SUM	days	seconds	0.502715	0.006500	1.999900	0.000000
exponential2	43	313814094	SUM	days	minutes	0.054441	0.006499	0.005306	0.000000
exponential2	43	313814094	SUM	days	hours	0.009463	0.010999	0.000243	0.000000
exponential2	43	313814094	SUM	days	days	0.001527	0.010500	0.000022	0.000000
exponential2	43	313814094	SUM	days	months	0.000137	0.046996	0.000001	0.000000
exponential2	43	313814094	SUM	months	seconds	0.502482	0.003500	1.999900	0.000000
exponential2	43	313814094	SUM	months	minutes	0.046010	0.004999	0.005307	0.000000
exponential2	43	313814094	SUM	months	hours	0.008848	0.005500	0.000243	0.000000
exponential2	43	313814094	SUM	months	days	0.001568	0.012500	0.000022	0.000000
exponential2	43	313814094	SUM	months	months	0.000343	0.008000	0.000002	0.000000
exponential2	43	313814094	SUM	years	seconds	0.984669	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	seconds	0.132140	0.001000	0.924144	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	minutes	0.017907	0.002000	0.051107	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	hours	0.001211	0.001000	0.004746	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	days	0.000111	0.000000	0.000642	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	months	0.000033	0.001000	0.000098	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	seconds	0.347195	0.001500	1.999901	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	minutes	0.013448	0.001500	0.061010	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	hours	0.001286	0.001000	0.004835	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	days	0.000111	0.001500	0.000640	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	months	0.000034	0.001500	0.000098	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	seconds	0.354314	0.001500	1.999903	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	minutes	0.030079	0.001500	0.150524	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	hours	0.001783	0.001500	0.007137	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	days	0.000113	0.001500	0.000532	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	months	0.000034	0.001000	0.000099	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	seconds	0.491607	0.000500	1.999908	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	minutes	0.046715	0.002500	0.160082	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	hours	0.005081	0.001500	0.017372	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	days	0.000327	0.001000	0.001207	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	months	0.000026	0.001500	0.000101	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	seconds	0.371111	0.001500	1.999908	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	minutes	0.043073	0.001500	0.160930	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	hours	0.006862	0.001000	0.020402	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	days	0.000869	0.000500	0.003012	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	months	0.000058	0.001000	0.000164	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	seconds	0.282458	0.001000	1.999908	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	minutes	0.037918	0.001500	0.160951	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	hours	0.006877	0.001500	0.020583	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	days	0.001184	0.001500	0.004076	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	months	0.000049	0.001000	0.000347	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	years	seconds	0.495025	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	seconds	0.194048	0.001000	0.112646	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	minutes	0.021271	0.002000	0.002976	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	hours	0.001144	0.000000	0.000116	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	days	0.000141	0.001000	0.000009	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	months	0.000014	0.000000	0.000001	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	seconds	0.519465	0.001500	1.999900	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	minutes	0.017152	0.001500	0.003277	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	hours	0.001426	0.001500	0.000117	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	days	0.000139	0.001500	0.000009	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	months	0.000014	0.001500	0.000001	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	seconds	0.510505	0.001500	1.999900	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	minutes	0.037501	0.001500	0.005182	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	hours	0.002149	0.001500	0.000142	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	days	0.000112	0.001500	0.000008	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	months	0.000014	0.001500	0.000001	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	seconds	0.617285	0.001500	1.999900	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	minutes	0.054985	0.001500	0.005293	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	hours	0.006703	0.002500	0.000223	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	days	0.000410	0.001500	0.000012	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	months	0.000029	0.002500	0.000001	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	seconds	0.503163	0.000500	1.999900	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	minutes	0.053146	0.001500	0.005306	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	hours	0.009183	0.001500	0.000242	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	days	0.000966	0.001500	0.000019	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	months	0.000062	0.001500	0.000001	0.000000
rationalPower1,4,1,1	107	313814094	SUM	months	seconds	0.502550	0.002000	1.999900	0.000000
rationalPower1,4,1,1	107	313814094	SUM	months	minutes	0.045635	0.001500	0.005306	0.000000
rationalPower1,4,1,1	107	313814094	SUM	months	hours	0.008502	0.001000	0.000243	0.000000
rationalPower1,4,1,1	107	313814094	SUM	months	days	0.001386	0.002000	0.000022	0.000000
rationalPower1,4,1,1	107	313814094	SUM	months	months	0.000088	0.001000	0.000001	0.000000
rationalPower1,4,1,1	107	313814094	SUM	years	seconds	0.984670	0.000000	2.000000	0.000000
